157-1-1,40517,40697
158-1-1,34849,35080
159-1-1,24172,24492
160-1-1,40564,40941
161-1-1,18179,18509
162-1-1,22858,23027
163-1-1,21364,21528
164-1-1,7151,7592
165-1-1,9225,9615
166-1-1,9887,10266
167-1-1,5243,5579
168-1-1,30162,30341
169-1-1,41115,41420
170-1-1,4244,4591
171-1-1,1491,1676
172-1-1,26104,26285
173-1-1,39767,40004
174-1-1,37250,37411
176-1-1,42370,42566
177-1-1,12632,12827
179-1-1,33234,33387
182-1-1,3428,3640
183-1-1,7294,7551
184-1-1,33610,33826
185-1-1,16984,17164
186-1-1,34161,34362
187-1-1,29568,29780
188-1-1,3579,3746
189-1-1,35028,35129
190-1-1,16724,16841
191-1-1,82283,82633
192-1-1,12118,12487
193-1-1,20875,21316
194-1-1,9634,9863
198-1-1,23412,23714
202-1-1,89681,90037
203-1-1,12840,13424
204-1-1,11346,11744
209-1-1,16191,16428
210-1-1,9863,10247
211-1-1,4117,4513
214-1-1,46229,46621
234-1-1,14815,15578
235-1-1,32650,33378
236-1-1,15743,16224
237-1-1,8073,8607
245-1-1,22918,23054
246-1-1,29981,30184
247-1-1,47047,47326
249-1-1,58613,58842
250-1-1,37154,37409
251-1-1,7295,7484
251-1-2,9808,9999
252-1-1,8066,8207
253-1-1,7034,7188
254-1-1,8083,8273
255-1-1,7356,7546
256-1-1,7009,7191
256-1-2,8218,8387
257-1-1,9305,9508
257-1-2,6281,6529
259-1-1,54058,54190
260-1-1,17864,18025
261-1-1,6629,6808
261-1-2,6639,6794
261-1-3,7834,8007
262-1-1,6638,6842
262-1-2,6651,6858
262-1-3,7295,7450
262-1-4,8479,8657
263-1-1,6516,6681
263-1-2,7700,7884
264-1-1,6303,6476
264-1-2,8708,8881
265-1-1,6394,6553
265-1-2,8189,8361
266-1-1,5956,6146
266-1-2,7149,7339
267-1-1,8329,8514
267-1-2,6570,6704
268-1-1,7122,7281
270-1-1,5515,5670
271-1-1,3504,3665
272-1-1,2787,2988
273-1-1,42910,43079
274-1-1,52970,53173
275-1-1,52469,52659
276-1-1,48085,48336
277-1-1,57066,57185
278-1-1,57641,57896
279-1-1,2589,2835
280-1-1,7763,8044
282-1-1,8639,8837
282-1-2,6654,6838
282-1-3,7145,7329
282-1-4,8134,8325
285-1-1,5874,6026
286-1-1,6780,6945
286-1-2,7296,7455
286-1-3,7792,7950
288-1-1,6446,6606
288-1-2,7442,7612
289-1-1,7768,7901
289-1-2,8268,8407
291-1-1,7088,7195
291-1-2,8583,8717
291-1-3,9085,9226
292-1-1,6526,6676
292-1-2,7026,7168
292-1-3,7514,7668
293-1-1,8361,8515
293-1-2,6370,6491
295-1-1,6599,6789
295-1-2,7093,7291
296-1-1,6596,6755
296-1-2,7100,7267
297-1-1,7310,7499
299-1-1,6454,6600
299-1-2,6955,7093
300-1-1,7650,7800
301-1-1,6806,6939
302-1-1,7614,7764
303-1-1,8080,8240
359-1-1,38548,38642
360-1-1,59606,59742
361-1-1,28902,29097
362-1-1,58220,58365
363-1-1,59259,59403
364-1-1,6792,6920
365-1-1,6651,6763
365-1-2,7174,7287
366-1-1,8220,8339
367-1-1,7192,7317
368-1-1,7974,8130
369-1-1,7883,8025
370-1-1,8059,8210
370-1-2,6562,6675
371-1-1,7334,7463
372-1-1,6779,6920
373-1-1,7346,7493
374-1-1,7261,7416
374-1-2,7767,7921
375-1-1,5288,5445
376-1-1,6983,7110
377-1-1,6955,7096
378-1-1,8876,9023
379-1-1,5056,5185
380-1-1,7738,7892
381-1-1,8997,9132
382-1-1,7992,8145
383-1-1,45099,45286
384-1-1,3555,3733
385-1-1,40279,40567
388-1-1,36103,36272
392-1-1,7036,7261
393-1-1,7455,7665
394-1-1,6806,6988
396-1-1,7127,7375
397-1-1,7500,7749
398-1-1,7461,7717
408-1-1,34830,35015
415-1-1,6104,6306
416-1-1,6627,6828
418-1-1,6891,7084
419-1-1,6283,6483
420-1-1,8105,8289
421-1-1,7325,7518
423-1-1,6655,6828
424-1-1,6827,6991
426-1-1,7546,7720
427-1-1,5916,6114
428-1-1,6978,7160
429-1-1,6181,6374
430-1-1,6691,6883
431-1-1,5953,6131
432-1-1,5885,6066
433-1-1,6673,6868
435-1-1,7295,7488
437-1-1,6811,7001
438-1-1,8130,8291
439-1-1,6857,7028
440-1-1,6990,7175
441-1-1,7110,7281
442-1-1,6936,7095
451-1-1,59878,60034
455-1-1,7564,7733
468-1-1,8377,8573
483-1-1,7165,7459
484-1-1,3288,3579
485-1-1,6300,6580
487-1-1,6731,7037
488-1-1,8149,8488
497-1-1,60061,60239
503-1-1,7972,8150
504-1-1,6878,7050
505-1-1,5948,6150
513-1-1,42339,42534
518-1-1,8666,8792
522-1-1,8504,8668
523-1-1,6840,7030
524-1-1,6089,6219
525-1-1,7170,7296
526-1-1,6812,6974
527-1-1,7198,7352
528-1-1,7182,7339
530-1-1,7784,7953
531-1-1,8163,8336
532-1-1,7627,7780
533-1-1,6993,7167
534-1-1,7620,7798
537-1-1,6906,7095
538-1-1,7172,7357
539-1-1,7070,7258
540-1-1,9148,9318
541-1-1,7722,7914
542-1-1,8075,8271
543-1-1,7369,7540
544-1-1,8157,8350
545-1-1,7121,7284
546-1-1,7845,8018
547-1-1,7175,7331
548-1-1,7371,7527
549-1-1,7536,7699
551-1-1,7560,7744
552-1-1,7186,7353
553-1-1,8566,8711
554-1-1,8335,8480
555-1-1,8086,8243
556-1-1,8676,8811
557-1-1,7130,7282
558-1-1,7170,7332
559-1-1,7778,7931
560-1-1,7777,7970
561-1-1,8436,8610
562-1-1,7962,8119
563-1-1,7016,7171
564-1-1,9647,9807
565-1-1,7691,7855
567-1-1,7389,7565
